nc Variable	Variable	Units	Description
var261	Eu_D_CONC_BOTTLE	pmol/kg	Concentration of dissolved Eu
var262	Gd_D_CONC_BOTTLE	pmol/kg	Concentration of dissolved Gd
var263	Tb_D_CONC_BOTTLE	pmol/kg	Concentration of dissolved Tb
var264	Dy_D_CONC_BOTTLE	pmol/kg	Concentration of dissolved Dy
var265	Ho_D_CONC_BOTTLE	pmol/kg	Concentration of dissolved Ho
var266	Er_D_CONC_BOTTLE	pmol/kg	Concentration of dissolved Er
var267	Tm_D_CONC_BOTTLE	pmol/kg	Concentration of dissolved Tm
var268	Yb_D_CONC_BOTTLE	pmol/kg	Concentration of dissolved Yb
var269	Lu_D_CONC_BOTTLE	pmol/kg	Concentration of dissolved Lu
var270	Y_D_CONC_FISH	pmol/kg	Concentration of dissolved Yttrium
var271	La_D_CONC_FISH	pmol/kg	Concentration of dissolved La
var272	Ce_D_CONC_FISH	pmol/kg	Concentration of dissolved Ce
var273	Pr_D_CONC_FISH	pmol/kg	Concentration of dissolved Pr
var274	Nd_D_CONC_FISH	pmol/kg	Concentration of dissolved Nd
var275	Sm_D_CONC_FISH	pmol/kg	Concentration of dissolved Sm
var276	Eu_D_CONC_FISH	pmol/kg	Concentration of dissolved Eu
var277	Gd_D_CONC_FISH	pmol/kg	Concentration of dissolved Gd
var278	Tb_D_CONC_FISH	pmol/kg	Concentration of dissolved Tb
var279	Dy_D_CONC_FISH	pmol/kg	Concentration of dissolved Dy
var280	Ho_D_CONC_FISH	pmol/kg	Concentration of dissolved Ho
var281	Er_D_CONC_FISH	pmol/kg	Concentration of dissolved Er
var282	Tm_D_CONC_FISH	pmol/kg	Concentration of dissolved Tm
var283	Yb_D_CONC_FISH	pmol/kg	Concentration of dissolved Yb
var284	Lu_D_CONC_FISH	pmol/kg	Concentration of dissolved Lu
var285	La_D_CONC_UWAY	pmol/kg	Concentration of dissolved La
var286	Ce_D_CONC_UWAY	pmol/kg	Concentration of dissolved Ce
var287	Pr_D_CONC_UWAY	pmol/kg	Concentration of dissolved Pr
var288	Nd_D_CONC_UWAY	pmol/kg	Concentration of dissolved Nd
var289	Sm_D_CONC_UWAY	pmol/kg	Concentration of dissolved Sm
var290	Eu_D_CONC_UWAY	pmol/kg	Concentration of dissolved Eu
var291	Gd_D_CONC_UWAY	pmol/kg	Concentration of dissolved Gd
var292	Tb_D_CONC_UWAY	pmol/kg	Concentration of dissolved Tb
var293	Dy_D_CONC_UWAY	pmol/kg	Concentration of dissolved Dy
var294	Ho_D_CONC_UWAY	pmol/kg	Concentration of dissolved Ho
var295	Er_D_CONC_UWAY	pmol/kg	Concentration of dissolved Er
var296	Tm_D_CONC_UWAY	pmol/kg	Concentration of dissolved Tm
var297	Yb_D_CONC_UWAY	pmol/kg	Concentration of dissolved Yb
var298	Lu_D_CONC_UWAY	pmol/kg	Concentration of dissolved Lu
var299	La_D_CONC_BOAT_PUMP	pmol/kg	Concentration of dissolved La
var300	Ce_D_CONC_BOAT_PUMP	pmol/kg	Concentration of dissolved Ce
var301	Pr_D_CONC_BOAT_PUMP	pmol/kg	Concentration of dissolved Pr
var302	Nd_D_CONC_BOAT_PUMP	pmol/kg	Concentration of dissolved Nd
var303	Sm_D_CONC_BOAT_PUMP	pmol/kg	Concentration of dissolved Sm
var304	Eu_D_CONC_BOAT_PUMP	pmol/kg	Concentration of dissolved Eu
var305	Gd_D_CONC_BOAT_PUMP	pmol/kg	Concentration of dissolved Gd
var306	Tb_D_CONC_BOAT_PUMP	pmol/kg	Concentration of dissolved Tb
var307	Dy_D_CONC_BOAT_PUMP	pmol/kg	Concentration of dissolved Dy
var308	Ho_D_CONC_BOAT_PUMP	pmol/kg	Concentration of dissolved Ho
var309	Er_D_CONC_BOAT_PUMP	pmol/kg	Concentration of dissolved Er
var310	Tm_D_CONC_BOAT_PUMP	pmol/kg	Concentration of dissolved Tm
var311	Yb_D_CONC_BOAT_PUMP	pmol/kg	Concentration of dissolved Yb
var312	Lu_D_CONC_BOAT_PUMP	pmol/kg	Concentration of dissolved Lu
var313	Cu_Cu'_D_CONC_BOTTLE	fmol/kg	Concentration of  dissolved inorganic Cu
var314	L1Cu_D_CONC_BOTTLE	nmol/kg	Concentration of dissolved L1 Cu-binding ligand
var315	L1Cu_D_LogK_BOTTLE		Log of the conditional stability constant for binding of Cu by  L1 Cu-binding ligand
var316	LFe_D_CONC_BOTTLE	nmol/kg	Concentration of dissolved iron binding ligand when only one ligand is determined
var317	LFe_D_LogK_BOTTLE		Log of the conditional stability constant for binding of Fe by the dissolved Fe-binding ligand when only one ligand is determined
var318	L1Fe_D_CONC_BOTTLE	nmol/kg	Concentration of dissolved L1 Fe-binding ligand
var319	L1Fe_D_LogK_BOTTLE		Log of the conditional stability constant for binding of Fe by L1 Fe-binding ligand
var320	L2Fe_D_CONC_BOTTLE	nmol/kg	Concentration of dissolved L2 Fe-binding ligand
var321	L2Fe_D_LogK_BOTTLE		Log of the conditional stability constant for binding of Fe by L2 Fe-binding ligand
var322	Cu_Cu'_D_CONC_FISH	fmol/kg	Concentration of  dissolved inorganic Cu
var323	L1Cu_D_CONC_FISH	nmol/kg	Concentration of dissolved L1 Cu-binding ligand
var324	L1Cu_D_LogK_FISH		Log of the conditional stability constant for binding of Cu by  L1 Cu-binding ligand
var325	L1Fe_D_CONC_FISH	nmol/kg	Concentration of dissolved L1 Fe-binding ligand
var326	L1Fe_D_LogK_FISH		Log of the conditional stability constant for binding of Fe by L1 Fe-binding ligand
var327	L2Fe_D_CONC_FISH	nmol/kg	Concentration of dissolved L2 Fe-binding ligand
var328	L2Fe_D_LogK_FISH		Log of the conditional stability constant for binding of Fe by L2 Fe-binding ligand
var329	Al_TP_CONC_BOTTLE	nmol/kg	Concentration of total particulate aluminium determined by filtration from a water sampling bottle
var330	Al_TPL_CONC_BOTTLE	nmol/kg	Concentration of labile particulate aluminium determined by filtration from a water sampling bottle
var331	Al_TPR_CONC_BOTTLE	nmol/kg	Concentration of refractory particulate aluminium determined by filtration from a water sampling bottle
var332	Ba_TP_CONC_BOTTLE	pmol/kg	Concentration of total particulate barium determined by filtration from a water sampling bottle
var333	Ba_TPL_CONC_BOTTLE	pmol/kg	Concentration of labile particulate barium determined by filtration from a water sampling bottle
var334	Cd_TP_CONC_BOTTLE	pmol/kg	Concentration of total particulate cadmium determined by filtration from a water sampling bottle
var335	Cd_TPL_CONC_BOTTLE	pmol/kg	Concentration of labile particulate cadmium determined by filtration from a water sampling bottle
var336	Cd_TPR_CONC_BOTTLE	pmol/kg	Concentration of refractory particulate cadmium determined by filtration from a water sampling bottle
var337	Co_TP_CONC_BOTTLE	pmol/kg	Concentration of total particulate cobalt determined by filtration from a water sampling bottle
var338	Co_TPL_CONC_BOTTLE	pmol/kg	Concentration of labile particulate cobalt determined by filtration from a water sampling bottle
var339	Co_TPR_CONC_BOTTLE	pmol/kg	Concentration of refractory particulate cobalt determined by filtration from a water sampling bottle
var340	Cr_TP_CONC_BOTTLE	pmol/kg	Concentration of total particulate chromium determined by filtration from a water sampling bottle
var341	Cu_TP_CONC_BOTTLE	pmol/kg	Concentration of total particulate copper determined by filtration from a water sampling bottle
var342	Cu_TPL_CONC_BOTTLE	pmol/kg	Concentration of labile particulate copper determined by filtration from a water sampling bottle
var343	Fe_TP_CONC_BOTTLE	nmol/kg	Concentration of total particulate iron determined by filtration from a water sampling bottle
var344	Fe_TPL_CONC_BOTTLE	nmol/kg	Concentration of labile particulate iron determined by filtration from a water sampling bottle
var345	Fe_TPR_CONC_BOTTLE	nmol/kg	Concentration of refractory particulate iron determined by filtration from a water sampling bottle
var346	Mn_TP_CONC_BOTTLE	nmol/kg	Concentration of total particulate manganese determined by filtration from a water sampling bottle
var347	Mn_TPL_CONC_BOTTLE	nmol/kg	Concentration of labile particulate manganese determined by filtration from a water sampling bottle
var348	Mn_TPR_CONC_BOTTLE	nmol/kg	Concentration of refractory particulate manganese determined by filtration from a water sampling bottle
var349	Mo_TP_CONC_BOTTLE	pmol/kg	Concentration of total particulate molybdenum determined by filtration from a water sampling bottle
var350	Mo_TPL_CONC_BOTTLE	pmol/kg	Concentration of labile particulate molybdenum determined by filtration from a water sampling bottle
var351	Ni_TP_CONC_BOTTLE	pmol/kg	Concentration of total particulate nickel determined by filtration from a water sampling bottle
var352	Ni_TPL_CONC_BOTTLE	pmol/kg	Concentration of labile particulate nickel determined by filtration from a water sampling bottle
var353	P_TP_CONC_BOTTLE	nmol/kg	Concentration of total particulate phosphorus determined by filtration from a water sampling bottle
var354	P_TPL_CONC_BOTTLE	nmol/kg	Concentration of labile particulate phosphorus determined by filtration from a water sampling bottle
var355	P_TPR_CONC_BOTTLE	nmol/kg	Concentration of refractory particulate phosphorus determined by filtration from a water sampling bottle
var356	Pb_TP_CONC_BOTTLE	pmol/kg	Concentration of total particulate lead determined by filtration from a water sampling bottle
var357	Pb_TPL_CONC_BOTTLE	pmol/kg	Concentration of labile particulate lead determined by filtration from a water sampling bottle
var358	Sc_TP_CONC_BOTTLE	pmol/kg	Concentration of total particulate scandium determined by filtration from a water sampling bottle
var359	Th_TP_CONC_BOTTLE	pmol/kg	Concentration of total particulate thorium determined by filtration from a water sampling bottle
var360	Th_TPL_CONC_BOTTLE	pmol/kg	Concentration of labile particulate thorium determined by filtration from a water sampling bottle
var361	Ti_TP_CONC_BOTTLE	nmol/kg	Concentration of total particulate titanium determined by filtration from a water sampling bottle
var362	Ti_TPL_CONC_BOTTLE	nmol/kg	Concentration of labile particulate titanium determined by filtration from a water sampling bottle
var363	Ti_TPR_CONC_BOTTLE	nmol/kg	Concentration of refractory particulate titanium determined by filtration from a water sampling bottle
var364	V_TP_CONC_BOTTLE	pmol/kg	Concentration of total particulate vanadium determined by filtration from a water sampling bottle
var365	V_TPL_CONC_BOTTLE	pmol/kg	Concentration of labile particulate vanadium determined by filtration from a water sampling bottle
var366	Zn_TP_CONC_BOTTLE	pmol/kg	Concentration of total particulate zinc determined by filtration from a water sampling bottle
var367	Zn_TPL_CONC_BOTTLE	pmol/kg	Concentration of labile particulate zinc determined by filtration from a water sampling bottle
var368	Ag_LPT_CONC_PUMP	pmol/kg	Concentration of total particulate silver determined by in situ filtration (pump) collected on a prefilter (large particles)
var369	Ag_SPT_CONC_PUMP	pmol/kg	Concentration of total particulate silver determined by in situ filtration (pump) collected on a main filter (small particles)
var370	Al_TP_CONC_PUMP	nmol/kg	Concentration of total particulate aluminium determined by in situ filtration (pump) without size fractionation
var371	Al_LPT_CONC_PUMP	nmol/kg	Concentration of total particulate aluminium determined by in situ filtration (pump) collected on a prefilter (large particles)
var372	Al_SPT_CONC_PUMP	nmol/kg	Concentration of total particulate aluminium determined by in situ filtration (pump) collected on a main filter (small particles)
var373	Al_SPL_CONC_PUMP	nmol/kg	Concentration of labile particulate aluminium determined by in situ filtration (pump) collected on a main filter (small particles)
var374	Ba_LPT_CONC_PUMP	pmol/kg	Concentration of total particulate barium determined by in situ filtration (pump) collected on a prefilter (large particles)
var375	Ba_SPT_CONC_PUMP	pmol/kg	Concentration of total particulate barium determined by in situ filtration (pump) collected on a main filter (small particles)
var376	Ba_SPL_CONC_PUMP	pmol/kg	Concentration of labile particulate barium determined by in situ filtration (pump) collected on a main filter (small particles)
var377	Cd_TP_CONC_PUMP	pmol/kg	Concentration of total particulate cadmium determined by in situ filtration (pump) without size fractionation
var378	Cd_LPT_CONC_PUMP	pmol/kg	Concentration of total particulate cadmium determined by in situ filtration (pump) collected on a prefilter (large particles)
var379	Cd_SPT_CONC_PUMP	pmol/kg	Concentration of total particulate cadmium determined by in situ filtration (pump) collected on a main filter (small particles)
var380	Co_LPT_CONC_PUMP	pmol/kg	Concentration of total particulate cobalt determined by in situ filtration (pump) collected on a prefilter (large particles)
var381	Co_SPT_CONC_PUMP	pmol/kg	Concentration of total particulate cobalt determined by in situ filtration (pump) collected on a main filter (small particles)
var382	Cu_LPT_CONC_PUMP	pmol/kg	Concentration of total particulate copper determined by in situ filtration (pump) collected on a prefilter (large particles)
var383	Cu_SPT_CONC_PUMP	pmol/kg	Concentration of total particulate copper determined by in situ filtration (pump) collected on a main filter (small particles)
var384	Cu_SPL_CONC_PUMP	pmol/kg	Concentration of labile particulate copper determined by in situ filtration (pump) collected on a main filter (small particles)
var385	Fe_TP_CONC_PUMP	nmol/kg	Concentration of total particulate iron determined by in situ filtration (pump) without size fractionation
var386	Fe_LPT_CONC_PUMP	nmol/kg	Concentration of total particulate iron determined by in situ filtration (pump) collected on a prefilter (large particles)
var387	Fe_SPT_CONC_PUMP	nmol/kg	Concentration of total particulate iron determined by in situ filtration (pump) collected on a main filter (small particles)
var388	Fe_SPL_CONC_PUMP	nmol/kg	Concentration of labile particulate iron determined by in situ filtration (pump) collected on a main filter (small particles)
var389	Ga_TP_CONC_PUMP	pmol/kg	Concentration of total particulate gallium determined by in situ filtration (pump) without size fractionation
var390	Hg_SPT_CONC_PUMP	pmol/kg	Concentration of total particulate mercury determined by in situ filtration (pump) collected on a main filter (small particles)
var391	Hg_MM_SPT_CONC_PUMP	pmol/kg	Concentration of total particulate monomethyl mercury determined by in situ filtration (pump) collected on a main filter (small particles)
var392	Mn_TP_CONC_PUMP	nmol/kg	Concentration of total particulate manganese determined by in situ filtration (pump) without size fractionation
var393	Mn_LPT_CONC_PUMP	nmol/kg	Concentration of total particulate manganese determined by in situ filtration (pump) collected on a prefilter (large particles)
var394	Mn_SPT_CONC_PUMP	nmol/kg	Concentration of total particulate manganese determined by in situ filtration (pump) collected on a main filter (small particles)
var395	Mn_SPL_CONC_PUMP	nmol/kg	Concentration of labile particulate manganese determined by in situ filtration (pump) collected on a main filter (small particles)
var396	Mo_TP_CONC_PUMP	pmol/kg	Concentration of total particulate molybdenum determined by in situ filtration (pump) without size fractionation
var397	Mo_LPT_CONC_PUMP	pmol/kg	Concentration of total particulate moybdenum determined by in situ filtration (pump) collected on a prefilter (large particles)
var398	Mo_SPT_CONC_PUMP	pmol/kg	Concentration of total particulate molybdenum determined by in situ filtration (pump) collected on a main filter (small particles)
var399	Ni_TP_CONC_PUMP	pmol/kg	Concentration of total particulate nickel determined by in situ filtration (pump) without size fractionation
var400	Ni_LPT_CONC_PUMP	pmol/kg	Concentration of total particulate nickel determined by in situ filtration (pump) collected on a prefilter (large particles)
var401	Ni_SPT_CONC_PUMP	pmol/kg	Concentration of total particulate nickel determined by in situ filtration (pump) collected on a main filter (small particles)
var402	Ni_SPL_CONC_PUMP	pmol/kg	Concentration of labile particulate nickel determined by in situ filtration (pump) collected on a main filter (small particles)
var403	P_TP_CONC_PUMP	nmol/kg	Concentration of total particulate phosphorus determined by in situ filtration (pump) without size fractionation
var404	P_LPT_CONC_PUMP	nmol/kg	Concentration of total particulate phosphorus determined by in situ filtration (pump) collected on a prefilter (large particles)
var405	P_SPT_CONC_PUMP	nmol/kg	Concentration of total particulate phosphorus determined by in situ filtration (pump) collected on a main filter (small particles)
var406	P_SPL_CONC_PUMP	nmol/kg	Concentration of labile particulate phosphorus determined by in situ filtration (pump) collected on a main filter (small particles)
var407	Pb_TP_CONC_PUMP	pmol/kg	Concentration of total particulate lead determined by in situ filtration (pump) without size fractionation
var408	Pb_LPT_CONC_PUMP	pmol/kg	Concentration of total particulate lead determined by in situ filtration (pump) collected on a prefilter (large particles)
var409	Pb_SPT_CONC_PUMP	pmol/kg	Concentration of total particulate lead determined by in situ filtration (pump) collected on a main filter (small particles)
var410	Th_TP_CONC_PUMP	pmol/kg	Concentration of total particulate thorium determined by in situ filtration (pump) without size fractionation
var411	Th_LPT_CONC_PUMP	pmol/kg	Concentration of total particulate thorium determined by in situ filtration (pump) collected on a prefilter (large particles)
var412	Th_SPT_CONC_PUMP	pmol/kg	Concentration of total particulate thorium determined by in situ filtration (pump) collected on a main filter (small particles)
var413	Ti_LPT_CONC_PUMP	nmol/kg	Concentration of total particulate titanium determined by in situ filtration (pump) collected on a prefilter (large particles)
var414	Ti_SPT_CONC_PUMP	nmol/kg	Concentration of total particulate titanium determined by in situ filtration (pump) collected on a main filter (small particles)
var415	U_TP_CONC_PUMP	pmol/kg	Concentration of total particulate uranium determined by in situ filtration (pump) without size fractionation
var416	V_TP_CONC_PUMP	pmol/kg	Concentration of total particulate vanadium determined by in situ filtration (pump) without size fractionation
var417	V_LPT_CONC_PUMP	pmol/kg	Concentration of total particulate vanadium determined by in situ filtration (pump) collected on a prefilter (large particles)
var418	V_SPT_CONC_PUMP	pmol/kg	Concentration of total particulate vanadium determined by in situ filtration (pump) collected on a main filter (small particles)
var419	V_SPL_CONC_PUMP	pmol/kg	Concentration of labile particulate vanadium determined by in situ filtration (pump) collected on a main filter (small particles)
var420	Zn_TP_CONC_PUMP	pmol/kg	Concentration of total particulate zinc determined by in situ filtration (pump) without size fractionation
var421	Al_TP_CONC_FISH	nmol/kg	Concentration of total particulate aluminium determined by towed fish without size fractionation
var422	Al_TPL_CONC_FISH	nmol/kg	Concentration of labile particulate aluminum determined by towed fish without size fractionation
var423	Ba_TP_CONC_FISH	pmol/kg	Concentration of total particulate barium determined by towed fish without size fractionation
var424	Ba_TPL_CONC_FISH	pmol/kg	Concentration of labile particulate barium determined by towed fish without size fractionation
var425	Cd_TP_CONC_FISH	pmol/kg	Concentration of total particulate cadmium determined by towed fish without size fractionation
var426	Cd_TPL_CONC_FISH	pmol/kg	Concentration of labile particulate cadmium determined by towed fish without size fractionation
var427	Co_TP_CONC_FISH	pmol/kg	Concentration of total particulate cobalt determined by towed fish without size fractionation
var428	Co_TPL_CONC_FISH	pmol/kg	Concentration of labile particulate cobalt determined by towed fish without size fractionation
var429	Cu_TP_CONC_FISH	pmol/kg	Concentration of total particulate copper determined by towed fish without size fractionation
var430	Cu_TPL_CONC_FISH	pmol/kg	Concentration of labile particulate copper determined by towed fish without size fractionation
var431	Fe_TP_CONC_FISH	nmol/kg	Concentration of total particulate iron determined by towed fish without size fractionation
var432	Fe_TPL_CONC_FISH	nmol/kg	Concentration of labile particulate iron determined by towed fish without size fractionation
var433	Mn_TP_CONC_FISH	nmol/kg	Concentration of total particulate manganese determined by towed fish without size fractionation
var434	Mn_TPL_CONC_FISH	nmol/kg	Concentration of labile particulate manganese determined by towed fish without size fractionation
var435	Ni_TP_CONC_FISH	pmol/kg	Concentration of total particulate nickel determined by towed fish without size fractionation
var436	Ni_TPL_CONC_FISH	pmol/kg	Concentration of labile particulate nickel determined by towed fish without size fractionation
var437	P_TP_CONC_FISH	nmol/kg	Concentration of total particulate phosphorus determined by towed fish without size fractionation
var438	P_TPL_CONC_FISH	nmol/kg	Concentration of labile particulate phosphorus determined by towed fish without size fractionation
var439	Pb_TP_CONC_FISH	pmol/kg	Concentration of total particulate lead determined by towed fish without size fractionation
var440	Pb_TPL_CONC_FISH	pmol/kg	Concentration of labile particulate lead determined by towed fish without size fractionation
var441	Th_TP_CONC_FISH	pmol/kg	Concentration of total particulate thorium determined by towed fish without size fractionation
var442	Th_TPL_CONC_FISH	pmol/kg	Concentration of labile particulate thorium determined by towed fish without size fractionation
var443	Ti_TP_CONC_FISH	nmol/kg	Concentration of total particulate titanium determined by towed fish without size fractionation
var444	Ti_TPL_CONC_FISH	nmol/kg	Concentration of labile particulate titanium determined by towed fish without size fractionation
var445	V_TP_CONC_FISH	pmol/kg	Concentration of total particulate vanadium determined by towed fish without size fractionation
var446	V_TPL_CONC_FISH	pmol/kg	Concentration of labile particulate vanadium determined by towed fish without size fractionation
var447	Zn_TP_CONC_FISH	pmol/kg	Concentration of total particulate zinc determined by towed fish without size fractionation
var448	Zn_TPL_CONC_FISH	pmol/kg	Concentration of labile particulate zinc determined by towed fish without size fractionation
var449	bSi_30_28_TP_DELTA_PUMP	per 10^3	Atom ratio of Si isotopes in biogenic Si (opal) expressed in conventional DELTA notation determined by in situ filtration (pump) without size fractionation referenced to {NBS28}
var450	PIC_LPT_CONC_PUMP	umol C/kg	Concentration of particulate inorganic carbon determined by in situ filtration (pump) collected on a prefilter (large particles)
var451	PIC_SPT_CONC_PUMP	umol C/kg	Concentration of particulate inorganic carbon determined by in situ filtration (pump) collected on a main filter (small particles)
var452	C_LPT_CONC_PUMP	umol C/kg	Concentration of particulate total carbon determined by in situ filtration (pump) collected on a prefilter (large particles)
var453	C_SPT_CONC_PUMP	umol C/kg	Concentration of particulate total carbon determined by in situ filtration (pump) collected on a main filter (small particles)
var454	POC_LPT_CONC_PUMP	umol C/kg	Concentration of particulate organic carbon determined by in situ filtration (pump) collected on a prefilter (large particles)
var455	POC_SPT_CONC_PUMP	umol C/kg	Concentration of particulate organic carbon determined by in situ filtration (pump) collected on a main filter (small particles)
var456	N_LPT_CONC_PUMP	nmol N/kg	Concentration of particulate nitrogen determined by in situ filtration (pump) collected on a prefilter (large particles)
var457	N_SPT_CONC_PUMP	nmol N/kg	Concentration of particulate nitrogen determined by in situ filtration (pump) collected on a main filter (small particles)
var458	bSi_TP_CONC_PUMP	nmol Si/kg	Concentration of particulate biogenic silicon determined by in situ filtration (pump) without size fractionation, see metadata for assumed molecular composition (e.g., opal, calculated as 67.9 g opal/mole Si)
var459	bSi_LPT_CONC_PUMP	nmol Si/kg	Concentration of particulate biogenic silicon determined by in situ filtration (pump) collected on a prefilter (large particles), see metadata for assumed molecular composition (e.g., opal, calculated as 67.9 g opal/mole Si)
var460	bSi_SPT_CONC_PUMP	nmol Si/kg	Concentration of particulate biogenic silicon determined by in situ filtration (pump) collected on a main filter (small particles), see metadata for assumed molecular composition (e.g., opal, calculated as 67.9 g opal/mole Si)
var461	PARTICLEMASS_LPT_CONC_PUMP	ug/kg	Concentration of particulate mass (dry weight)  determined by in situ filtration (pump) collected on a prefilter (large particles)
var462	PARTICLEMASS_SPT_CONC_PUMP	ug/kg	Concentration of particulate mass (dry weight)  determined by in situ filtration (pump) collected on a main filter (small particles)
var463	Po_210_TP_CONC_BOTTLE	mBq/kg	Concentration of total particulate Po-210 determined by filtration from a water sampling bottle
var464	Pb_210_TP_CONC_BOTTLE	mBq/kg	Concentration of total particulate Pb-210 determined by filtration from a water sampling bottle
var465	Po_210_SPT_CONC_PUMP	mBq/kg	Concentration of total particulate Po-210 determined by in situ filtration (pump) collected on a main filter (small particles)
var466	Po_210_LPT_CONC_PUMP	mBq/kg	Concentration of total particulate Po-210 determined by in situ filtration (pump) collected on a pre filter (large particles)
var467	Pb_210_SPT_CONC_PUMP	mBq/kg	Concentration of total particulate Pb-210 determined by in situ filtration (pump) collected on a main filter (small particles)
var468	Pb_210_LPT_CONC_PUMP	mBq/kg	Concentration of total particulate Pb-210 determined by in situ filtration (pump) collected on a pre filter (large particles)
var469	Pa_231_TP_CONC_PUMP	uBq/kg	Concentration of total particulate Pa-231 determined by in situ filtration (pump) without size fractionation
var470	Pa_231_SPT_CONC_PUMP	uBq/kg	Concentration of total particulate Pa-231 determined by in situ filtration (pump) collected on a main filter (small particles)
var471	Pa_231_LPT_CONC_PUMP	uBq/kg	Concentration of total particulate Pa-231 determined by in situ filtration (pump) collected on a pre filter (large particles)
var472	Th_228_SPT_CONC_PUMP	uBq/kg	Concentration of total particulate Th-228 determined by in situ filtration (pump) collected on a main filter (small particles)
var473	Th_228_LPT_CONC_PUMP	uBq/kg	Concentration of total particulate Th-228 determined by in situ filtration (pump) collected on a pre filter (large particles)
var474	Th_230_TP_CONC_PUMP	uBq/kg	Concentration of total particulate Th-230 determined by in situ filtration (pump) without size fractionation
var475	Th_230_SPT_CONC_PUMP	uBq/kg	Concentration of total particulate Th-230 determined by in situ filtration (pump) collected on a main filter (small particles)
var476	Th_230_LPT_CONC_PUMP	uBq/kg	Concentration of total particulate Th-230 determined by in situ filtration (pump) collected on a pre filter (large particles)
var477	Th_232_TP_CONC_PUMP	pmol/kg	Concentration of total particulate Th-232 determined by in situ filtration (pump) without size fractionation
var478	Th_232_SPT_CONC_PUMP	pmol/kg	Concentration of total particulate Th-232 determined by in situ filtration (pump) collected on a main filter (small particles)
var479	Th_232_LPT_CONC_PUMP	pmol/kg	Concentration of total particulate Th-232 determined by in situ filtration (pump) collected on a pre filter (large particles)
var480	Th_234_SPT_CONC_PUMP	mBq/kg	Concentration of total particulate Th-234 determined by in situ filtration (pump) collected on a main filter (small particles)
var481	Th_234_LPT_CONC_PUMP	mBq/kg	Concentration of total particulate Th-234 determined by in situ filtration (pump) collected on a pre filter (large particles)
var482	Po_210_TP_CONC_UWAY	mBq/kg	Concentration of total particulate Po-210 determined by ship's underway seawater system without size fractionation
var483	Pb_210_TP_CONC_UWAY	mBq/kg	Concentration of total particulate Pb-210 determined by ship's underway seawater system without size fractionation
var484	Nd_143_144_TP_EPSILON_PUMP	per 10^4	Atom ratio of total particulate Nd isotopes expressed in conventional EPSILON notation determined by in situ filtration (pump) without size fractionation
var485	Y_TP_CONC_BOTTLE	pmol/kg	Concentration of total particulate yttrium determined by filtration from a water sampling bottle
var486	La_TP_CONC_BOTTLE	pmol/kg	Concentration of total particulate lanthanum determined by filtration from a water sampling bottle
var487	Ce_TP_CONC_BOTTLE	pmol/kg	Concentration of total particulate cerium determined by filtration from a water sampling bottle
var488	Pr_TP_CONC_BOTTLE	pmol/kg	Concentration of total particulate praseodymium determined by filtration from a water sampling bottle
var489	Nd_TP_CONC_BOTTLE	pmol/kg	Concentration of total particulate neodymium determined by filtration from a water sampling bottle
var490	Sm_TP_CONC_BOTTLE	pmol/kg	Concentration of total particulate samarium determined by filtration from a water sampling bottle
var491	Eu_TP_CONC_BOTTLE	pmol/kg	Concentration of total particulate europium determined by filtration from a water sampling bottle
var492	Gd_TP_CONC_BOTTLE	pmol/kg	Concentration of total particulate gadolinium determined by filtration from a water sampling bottle
var493	Tb_TP_CONC_BOTTLE	pmol/kg	Concentration of total particulate terbium determined by filtration from a water sampling bottle
var494	Dy_TP_CONC_BOTTLE	pmol/kg	Concentration of total particulate dysprosium determined by filtration from a water sampling bottle
var495	Ho_TP_CONC_BOTTLE	pmol/kg	Concentration of total particulate holmium determined by filtration from a water sampling bottle
var496	Er_TP_CONC_BOTTLE	pmol/kg	Concentration of total particulate erbium determined by filtration from a water sampling bottle
var497	Tm_TP_CONC_BOTTLE	pmol/kg	Concentration of total particulate thullium determined by filtration from a water sampling bottle
var498	Yb_TP_CONC_BOTTLE	pmol/kg	Concentration of total particulate ytterbium determined by filtration from a water sampling bottle
var499	Lu_TP_CONC_BOTTLE	pmol/kg	Concentration of total particulate lutetium determined by filtration from a water sampling bottle
var500	Y_LPT_CONC_PUMP	pmol/kg	Concentration of total particulate yttrium determined by in situ filtration (pump) collected on a prefilter (large particles)
var501	Y_SPT_CONC_PUMP	pmol/kg	Concentration of total particulate yttrium determined by in situ filtration (pump) collected on a main filter (small particles)
var502	Nd_TP_CONC_PUMP	pmol/kg	Concentration of total particulate neodymium determined by in situ filtration (pump) without size fractionation
var503	Nd_LPT_CONC_PUMP	pmol/kg	Concentration of total particulate neodymium determined by in situ filtration (pump) collected on a prefilter (large particles)
var504	Nd_SPT_CONC_PUMP	pmol/kg	Concentration of total particulate neodymium determined by in situ filtration (pump) collected on a main filter (small particles)
var505	Y_TP_CONC_FISH	pmol/kg	Concentration of total particulate yttrium determined by towed fish without size fractionation
var506	La_TP_CONC_FISH	pmol/kg	Concentration of total particulate lantanum determined by towed fish without size fractionation
var507	Fe_56_54_TP_DELTA_BOTTLE	per 10^3	Atom ratio of total particulate Fe isotopes expressed in conventional DELTA notation determined by filtration from a water sampling bottle referenced to {IRMM-14}
var508	Ba_138_134_SPL_DELTA_PUMP	per 10^3	Atom ratio of labile particulate Ba isotopes expressed in conventional DELTA notation determined by in situ filtration (pump) collected on a main filter (small particles) referenced to {NIST 3104a}
